zotero_fields
key
item_type
publication_year
author
title
publication_title
isbn
issn
doi
url
abstract_note
date
date_added
date_modified
access_date
pages
num_pages
issue
volume
number_of_volumes
journal_abbreviation
short_title
series
series_number
series_text
series_title
publisher
place
language
rights
type
archive
archive_location
library_catalog
call_number
extra
notes
attachments_path
attachments_url
own
automatic
editor
series_editor
translator
contributor
attorney_agent
book_author
cast_member
commenter
composer
cosponsor
counsel
interviewer
producer
recipient
reviewed_author
scriptwriter
words_by
guest
number
edition
running_time
scale
medium
artwork_size
filing_date
application_number
assignee
issuing_authority
country
meeting_name
conference_name
court
references
reporter
legal_status
priority_numbers
programming_language
version
system
code
code_number
section
session
committee
history
legislative_body
file_attachments
link_attachments
manual_tags
automatic_tags
first_author
